subject,trial,face,trial_type,rt,HandScored_scr,raw_scr,scr,response
6,27,0.11,CS,880,,1.216,1.1027239,1
6,28,0.11,CS,1172,,0.949,0.97416631,1
6,29,0.55,CSUS,1156,,2.69,1.640121947,2
6,30,0.11,CS,999,,1.269,1.126499001,1
7,1,0.11,CS,1197,,0.122,0.349284984,2
7,2,0.55,CS,1688,,1.06,1.029563014,2
7,3,0.55,CS,1672,,2.059,1.434921601,2
7,4,0.11,CS,1361,,5.25,2.291287847,1
7,5,0.55,CS,1440,,0.256,0.505964426,2
7,6,0.11,CS,1438,,3.102,1.761249556,1
7,7,0.55,CSUS,1621,,4.679,2.163099628,2
7,8,0.11,CS,1350,,1.296,1.138419958,1
7,9,0.55,CSUS,1359,,4.556,2.134478859,2
7,10,0.55,CS,1189,,1.824,1.350555441,2
7,11,0.11,CS,1722,,2.473,1.572577502,1
7,12,0.55,CSUS,1180,,3.656,1.912066944,2
7,13,0.11,CS,1257,,2.919,1.708508121,1
7,14,0.11,CS,1180,,0.61,0.781024968,1
7,15,0.55,CS,1187,,3.747,1.935716921,2
7,16,0.55,CSUS,1325,,4.237,2.058397435,2
7,17,0.11,CS,1419,,1.187,1.089495296,1
7,18,0.55,CSUS,1143,,2.45,1.565247584,2
7,19,0.11,CS,1934,,2.113,1.45361618,1
7,20,0.55,CSUS,894,,4.045,2.011218536,2
7,21,0.11,CS,1031,,0.183,0.427784993,1
7,22,0.55,CS,1135,,0.84,0.916515139,2
7,23,0.55,CSUS,567,,0.715,0.845576726,2
7,24,0.11,CS,982,,0.425,0.651920241,1
